product_id,brand,price,user_id,user_session,purchased,num_views_session,num_views_product,category,sub_category,hour,minute,weekday,duration,num_prev_sessions,num_prev_product_views
1002524,apple,538.84,534345932,01ae9a49-985e-4ab3-a075-ed05cb6c6795,1,22,6,electronics,smartphone,20,36,3,1908,2,3
1002524,apple,533.14,544879268,3e375c27-909c-b9b1-3149-398da3ecba94,1,2,2,electronics,smartphone,18,56,2,263,33,7
1002524,apple,531.29,549668553,69417435-4d9f-4387-8693-fd2e9bbfdcce,1,2,2,electronics,smartphone,6,21,1,108,22,11
1002524,apple,531.41,536190879,1094fcb7-a736-4716-8f03-e6d2f75866f7,0,1,1,electronics,smartphone,22,22,5,1,31,16
1002524,apple,531.29,553657427,12f7007b-6d04-4172-86e7-28e71b259d40,1,3,3,electronics,smartphone,9,43,2,87,35,31
1002528,apple,566.04,519683021,6758b71e-8dca-489e-bb3f-bb373b283baa,1,2,2,electronics,smartphone,5,24,0,76,23,3
1002528,apple,566.04,535137404,a4c3f608-f0f7-4654-b228-cb71bc7c5f1d,1,13,4,electronics,smartphone,11,17,5,491,11,4
1002528,apple,532.57,535137404,f637f83e-915b-4dc4-97fc-736d5faf2608,1,2,1,electronics,smartphone,14,57,5,75,19,8
1002528,apple,532.57,551361102,ea2a10cb-736e-4f51-8f75-5eef6cd741c4,1,4,4,electronics,smartphone,11,44,5,170,84,10
1002528,apple,532.57,551361102,b11048ee-11ff-4960-9821-0e44f8bb1a16,1,3,3,electronics,smartphone,21,13,5,284,105,25
1002528,apple,540.3,551361102,56a6ad95-a7a6-4fae-a493-0bf0b030867b,1,4,4,electronics,smartphone,14,27,0,160,166,67
1002528,apple,540.3,551361102,3949cf00-381f-4062-87b0-5901a4fb0637,1,20,4,electronics,smartphone,19,49,0,1112,174,71
1002532,apple,643.23,553519903,63199c47-84de-4340-9ccf-3b79ce9710b9,1,1,1,electronics,smartphone,11,29,1,245,6,3
1002532,apple,532.57,523102726,d692bc6d-caee-48c7-bbe3-c3036adee9a4,1,3,3,electronics,smartphone,12,32,4,62,49,17
1002535,apple,864.63,551361102,20872550-58b7-4088-b52e-75628a5932cc,1,54,4,electronics,smartphone,2,12,1,1782,33,3
1002535,apple,864.63,563249911,f637c67a-5b03-4153-8f26-39f93db2202d,1,5,2,electronics,smartphone,18,9,3,221,41,9
1002540,apple,463.07,512838746,26fc4381-5aeb-4e90-9f05-35501ed0d9cb,1,4,2,electronics,smartphone,13,51,3,288,3,3
1002544,apple,459.09,557254614,2db87cf3-7d19-4a25-947b-77631a6320a2,1,8,2,electronics,smartphone,4,22,4,246,105,25
1002544,apple,460.51,535658024,b60a0ad6-f60b-46be-935e-390fd336ad93,1,1,1,electronics,smartphone,5,2,0,411,96,65
1002544,apple,460.36,535658024,340a1afd-d15b-4a44-a327-3de913198598,1,3,3,electronics,smartphone,11,4,2,405,121,83
1002544,apple,460.11,535658024,6cfcc0e6-cbe2-4bd2-b1cc-05411c76e5fc,1,2,2,electronics,smartphone,9,53,3,316,135,95
1002544,apple,458.96,535658024,26b18032-4bde-43d4-bdfc-6d53e3cbf40d,1,9,2,electronics,smartphone,7,45,6,646,185,128
1002544,apple,458.96,535658024,afdf65c8-5496-4ece-aae5-c06f773a3a80,1,3,3,electronics,smartphone,11,18,6,207,194,133
1002546,apple,1012.64,549225111,df0a8839-96d9-43fc-a6b0-9bd6e7ea4c08,1,6,3,electronics,smartphone,7,14,5,231,3,3
1002547,apple,473.37,516096684,6ac15069-8174-4f07-9ce8-05e7d2b88630,1,2,1,electronics,smartphone,18,55,1,148,68,20
1002629,apple,360.34,513324257,0592ed01-8218-4700-a204-3177ace57b33,1,2,2,electronics,smartphone,14,28,0,145,1,1
1002633,apple,358.31,559868442,084a0fe1-2ccf-439c-aaa0-830501f6a9b3,1,2,2,electronics,smartphone,21,27,4,128,5,6
1002633,apple,358.44,532593563,c361db23-c1eb-473b-90f8-8ca03c4238d1,1,2,2,electronics,smartphone,7,44,1,52,44,23
1002633,apple,358.57,557112502,8e271708-14f4-458b-aaae-0e0a4034943a,1,6,4,electronics,smartphone,19,25,0,373,42,24
1002633,apple,358.44,532593563,f3be6ec6-5dd3-49d8-8114-af2049c5c1bf,1,2,2,electronics,smartphone,13,51,1,39,48,27
1002634,apple,370.41,513403677,043ab907-7fba-42bf-a0c8-9f2fecd58e73,1,10,2,electronics,smartphone,10,43,5,569,0,0
1002634,apple,369.89,514472957,0dd6021c-e01c-411a-b676-c9658a83b355,1,8,4,electronics,smartphone,11,44,4,210,12,7
1002665,honor,231.64,526698780,71346c67-2e52-4cfc-8067-36015ef1de88,1,6,5,electronics,smartphone,12,49,5,1608,1,0
1002995,apple,456.79,518449773,66cee5a7-6436-482e-95be-5811b49986da,1,1,1,electronics,smartphone,15,50,1,337,0,1
1003304,apple,575.18,513637879,08f3cd5a-6b6e-4131-b692-25e26b7aa22b,1,1,1,electronics,smartphone,21,36,4,88,3,3
1003304,apple,577.61,512739397,67c31ebf-d30d-44e9-8307-42cda3c89db3,1,1,1,electronics,smartphone,7,31,1,54,8,9
1003305,apple,605.65,515014899,ebab27f5-0f97-49a9-b2d9-e80625e9f324,1,3,3,electronics,smartphone,9,23,6,109,13,13
1003306,apple,583.17,555199107,cf792b49-d628-4f50-8d75-a68a893422f2,1,4,4,electronics,smartphone,7,42,1,429,26,20
1003306,apple,589.42,513229632,297ee35a-44df-403c-b792-414964b333a0,1,1,1,electronics,smartphone,8,27,6,644,80,41
1003306,apple,581.26,513229632,7fc3baa2-16e4-4556-a1de-a21014eaa4d9,1,1,1,electronics,smartphone,7,29,3,146,88,49
1003307,apple,741.07,529354677,57d57d47-e7a7-4d6b-9feb-867c90a25ade,1,3,3,electronics,smartphone,19,2,5,119,10,7
1003309,apple,822.99,555255382,b6934795-1b95-4db3-80d8-9d0ae7c5e27a,0,3,3,electronics,smartphone,16,31,4,141,2,0
1003310,apple,700.82,516043990,07f69495-5f01-4b24-9297-88bd4aee19b7,1,2,2,electronics,smartphone,8,25,4,126,0,0
1003310,apple,720.46,514143514,37cbba08-a689-482d-9b6f-48997d2fdcd2,1,2,2,electronics,smartphone,8,8,2,153,38,17
1003310,apple,720.46,514143514,37cbba08-a689-482d-9b6f-48997d2fdcd2,1,2,2,electronics,smartphone,8,8,2,153,38,18
1003312,apple,716.6,513204624,00105732-9960-4355-b84f-66bf3abce427,1,1,1,electronics,smartphone,12,4,1,65,17,4
1003312,apple,690.88,561461979,b7f3871f-aec7-4482-9085-12b3db9c59fa,1,2,2,electronics,smartphone,7,13,3,377,5,5
1003312,apple,692.32,516288812,f1837dcb-ca51-4b75-955f-5bf4f15a474b,1,3,1,electronics,smartphone,1,3,0,227,39,11
1003312,apple,692.24,530522688,bd061b2c-3055-4d01-919f-e3e38a18ada5,1,7,3,electronics,smartphone,8,23,0,487,61,17
1003314,apple,913.38,517711194,dffaa7ab-b4b7-42d4-8409-f3b7e43290ed,0,2,2,electronics,smartphone,13,41,2,605,3,2
1003316,apple,931.52,517056106,0ea2fe98-e1f1-4b84-8e63-d229dd349628,1,1,1,electronics,smartphone,11,15,4,74,13,13
1003316,apple,928.4,538216048,427d1b15-995c-468c-b30c-9137bfe5a2f8,1,5,2,electronics,smartphone,5,23,1,322,136,30
1003317,apple,952.15,513320236,bd37de9c-ef5a-4314-8200-880ca75c2f43,1,3,2,electronics,smartphone,10,26,2,420,115,16
1003438,gionee,74.65,512787867,a9552703-6a46-4548-a77e-c4fd269ba190,1,2,2,electronics,smartphone,14,31,5,825,1,2
1003768,huawei,485.54,545356842,663b8500-9255-4650-8625-0c0db103ff9b,1,2,2,electronics,smartphone,8,3,6,41,19,9
1003878,prestigio,51.46,549153469,a09e6672-e30d-43d9-b27d-96c5fb55d7e5,1,9,2,electronics,smartphone,12,12,5,643,8,1
1003947,inoi,63.64,521937929,345ba55f-7f2f-451e-bc15-4cd7a6303e3a,1,3,2,electronics,smartphone,19,38,1,320,4,2
1003949,inoi,52.99,541297775,cba4b88b-0c24-4a09-8c3f-0eb018cd2298,1,1,1,electronics,smartphone,6,23,3,63,32,1
1003965,samsung,720.46,525483969,11bc7527-4f74-495d-bad3-2bf97e4451e9,1,7,2,electronics,smartphone,5,11,5,865,2,1
1003966,samsung,720.48,512905134,db08c523-54f4-4c2f-82b0-700c8fc96970,1,15,4,electronics,smartphone,19,43,6,456,40,8
1004059,xiaomi,350.05,563081530,6e0ad6b3-ec3e-44fd-897f-86c3bb741bab,1,2,1,electronics,smartphone,7,14,5,544,8,5
1004060,xiaomi,320.42,514724655,18cf9662-d10c-45d6-b12c-16976e656dd0,0,5,2,electronics,smartphone,5,41,0,5765,0,0
1004077,xiaomi,409.28,553044429,464c62cf-6385-4f7c-9963-a22b958d324f,1,9,3,electronics,smartphone,8,35,2,1136,0,1
1004139,xiaomi,92.64,556490166,0fb7980c-8eb8-4329-a832-6cf77350108b,1,2,2,electronics,smartphone,18,7,5,197,1,2
1004139,xiaomi,97.79,512379299,46aa6822-131e-403f-ae72-e1d77da217b9,1,7,2,electronics,smartphone,12,39,0,262,7,4
1004144,xiaomi,128.28,521689958,3fea9a6f-906c-4f18-b6e7-009b2bf25372,1,1,1,electronics,smartphone,22,9,1,274,3,1
1004144,xiaomi,128.28,554179794,72b457b6-3b62-44a4-a872-81a3f3a15c30,1,1,1,electronics,smartphone,14,58,2,54,8,5
1004161,xiaomi,95.21,557935258,9173c39b-208d-4262-a26b-5723399db251,1,6,6,electronics,smartphone,7,7,5,740,10,10
1004175,tp-link,92.05,519650603,8f45bf00-30ea-4347-988e-25135dda8233,1,1,1,electronics,smartphone,12,31,1,85,4,2
1004210,samsung,88.24,562822473,650a2c88-1c29-47c3-928c-e5698e2192ff,1,1,1,electronics,smartphone,5,59,2,54,16,9
1004210,samsung,88.55,513190617,c658dd89-aa15-4d29-8148-919cc725ac8e,1,7,2,electronics,smartphone,7,22,0,301,51,15
1004225,apple,1004.76,513334519,b79ff1c2-c2fc-40b5-87b5-e644f13198c6,1,5,2,electronics,smartphone,7,33,2,219,28,15
1004225,apple,1004.63,519259003,e590de09-9124-4de2-a8d3-5ef1f6ec9f45,1,2,2,electronics,smartphone,9,28,3,72,18,16
1004225,apple,1004.76,513334519,eabfa73d-766e-4049-8669-0091e93ca50a,1,7,2,electronics,smartphone,11,54,3,352,34,21
1004225,apple,1003.58,513172685,b114d210-c05b-4aa9-9930-a092aa33d8d5,1,5,3,electronics,smartphone,19,36,6,188,31,24
1004225,apple,1003.29,513172685,bb7b1bc0-2404-4886-b352-dfd4d3f1b18a,1,3,2,electronics,smartphone,4,48,3,263,55,47
1004226,apple,1010.3,514381693,09ad12db-4a82-4633-92c8-8cd416313f9a,1,2,2,electronics,smartphone,19,58,3,92,2,3
1004226,apple,1004.14,512386086,ef2fc7c7-2b3e-45b9-8bbe-e89afe1a209e,1,4,2,electronics,smartphone,10,16,5,160,89,9
1004226,apple,999.77,514381693,b9c98ebf-89b5-43e1-b405-8e64f3ced978,1,2,2,electronics,smartphone,18,52,3,105,24,24
1004227,apple,1003.0,529036391,24eae7fa-24c0-4a16-8835-334006dcb04c,1,5,3,electronics,smartphone,8,22,2,116,6,5
1004227,apple,1003.0,512386086,5deb4189-ce66-48da-85bd-d9b2d824ded4,1,6,2,electronics,smartphone,10,40,2,392,250,59
1004227,apple,1002.86,512386086,921785aa-a7c9-4c8d-b80f-8d2557afb9cc,1,14,2,electronics,smartphone,6,40,3,1473,265,64
1004227,apple,1002.57,512386086,214c6590-de56-4674-a46f-1ce7b7b1ff65,1,5,1,electronics,smartphone,14,18,4,470,299,71
1004229,apple,1127.16,562398323,2440c861-fad9-4450-a678-a6a723dc05e5,1,4,2,electronics,smartphone,13,53,4,163,16,6
1004230,apple,1125.37,563793178,cb4d9465-ee5d-47ee-b1d5-34220efb45bc,1,1,1,electronics,smartphone,20,46,4,34,5,6
1004230,apple,1125.37,562398323,0cd645cf-6ba3-4d7b-9fad-908e55441efa,1,6,3,electronics,smartphone,15,35,5,133,27,16
1004230,apple,1112.46,562398323,a31f484c-6456-4a96-a2a7-acc76b372bb9,1,5,2,electronics,smartphone,16,15,5,115,33,18
1004234,apple,1090.49,557369252,0147641c-d676-4217-a603-55f1e81a6024,1,4,2,electronics,smartphone,15,17,0,197,0,1
1004237,apple,1093.84,513298115,16db11bc-5a82-4636-ac13-fc951f47addf,1,1,1,electronics,smartphone,7,8,3,275,66,16
