product_id,brand,price,user_id,user_session,purchased,num_views_session,num_views_product,category,sub_category,hour,minute,weekday,duration,num_prev_sessions,num_prev_product_views
1002524,apple,534.04,559152378,0c7204e4-8d09-4f1f-9da9-7d152f1d4931,1,2,2,electronics,smartphone,17,6,6,101,11,4
1002524,apple,531.29,549668553,69417435-4d9f-4387-8693-fd2e9bbfdcce,1,2,2,electronics,smartphone,6,21,1,108,22,12
1002524,apple,584.31,553657427,b8143278-ae23-477d-b729-d56807ad94b5,1,2,2,electronics,smartphone,5,2,2,68,17,13
1002524,apple,533.14,559773310,74b730af-3364-406d-97c2-1cd2402883df,1,2,2,electronics,smartphone,16,4,2,395,26,25
1002524,apple,534.04,558021007,c333bfcc-96fc-4b45-9325-0a9f18827422,1,2,2,electronics,smartphone,10,58,5,79,109,30
1002524,apple,531.67,513298115,96a4bda1-f2cb-41e1-ae1c-53e59cffb7cd,1,1,1,electronics,smartphone,13,29,5,308,75,35
1002524,apple,531.29,513298115,cbc3ec4b-ab72-4408-83a9-75656fc18f63,1,2,1,electronics,smartphone,8,11,2,455,90,41
1002528,apple,532.57,551361102,fa811800-0875-4ba3-bfbf-60c8d760cc10,1,9,2,electronics,smartphone,6,45,0,403,143,48
1002528,apple,532.57,551361102,ab7f4d1c-cafa-47f9-b833-8bc922224315,1,3,3,electronics,smartphone,8,18,0,159,153,54
1002528,apple,540.3,551361102,304e1d02-246b-429f-b5e1-c0bdfc4df447,1,6,2,electronics,smartphone,20,27,0,235,177,73
1002535,apple,864.63,551361102,7c8e4640-2b10-4eb3-83ce-570d55c9dd79,1,7,3,electronics,smartphone,13,1,2,135,20,1
1002536,apple,576.57,519086984,a7f85618-8068-49e7-a9f6-c9241fe91db0,1,1,1,electronics,smartphone,14,7,5,140,0,0
1002540,apple,463.07,514580198,5a1df85c-8644-451b-8bb4-6777e5f8ab6a,1,3,3,electronics,smartphone,14,44,4,50,44,4
1002544,apple,459.61,529661706,4282473d-106f-4118-b983-fdf6be7ea644,1,2,2,electronics,smartphone,5,27,1,476,23,16
1002544,apple,459.47,546679174,306c2800-cdf0-4129-bad1-3999e31a6f76,1,2,2,electronics,smartphone,19,5,1,84,55,18
1002544,apple,462.3,535658024,56229c02-7720-4ec8-95e1-44c105c100a9,1,2,2,electronics,smartphone,14,41,1,165,44,30
1002544,apple,460.63,535658024,65c05b68-318d-4698-bcb3-e922ae1d8ae8,1,3,3,electronics,smartphone,6,15,3,271,66,43
1002544,apple,460.54,535658024,31ea49b9-e22c-4c28-8368-99beb9a936ff,1,1,1,electronics,smartphone,8,10,5,217,79,51
1002544,apple,460.36,535658024,340a1afd-d15b-4a44-a327-3de913198598,1,3,3,electronics,smartphone,11,4,2,405,121,84
1002544,apple,460.11,535658024,91807b0c-114f-4f73-ab9c-c45623c4f381,1,2,2,electronics,smartphone,5,52,3,199,130,90
1002544,apple,460.07,535658024,0bfa1199-ac84-4ef8-b30e-ed139b70e5df,1,3,1,electronics,smartphone,9,12,5,317,148,100
1002544,apple,459.64,535658024,07cd0a26-ab14-4dff-aaff-89d8c7839d3a,1,1,1,electronics,smartphone,13,59,0,192,165,114
1002544,apple,458.42,535658024,04e1c633-f9cc-4473-badc-4f1e3a787510,1,1,1,electronics,smartphone,10,32,4,87,176,122
1002544,apple,458.42,535658024,04e1c633-f9cc-4473-badc-4f1e3a787510,1,1,1,electronics,smartphone,10,32,4,87,176,123
1002546,apple,1012.64,530818403,de6c2594-0d8c-43e8-88f0-e36638e6aa3d,1,8,7,electronics,smartphone,13,55,1,204,3,2
1002547,apple,469.77,519976945,16cc6bca-442a-4986-8158-63c5b6589983,1,7,2,electronics,smartphone,10,38,5,1176,21,2
1002547,apple,469.77,543681559,22e83466-c113-47ba-9f63-021b7c1b1df8,0,14,4,electronics,smartphone,6,48,3,659,7,3
1002547,apple,470.77,551117822,0f0563ea-ebfe-4f50-8b27-8926df819b17,1,1,1,electronics,smartphone,13,26,2,27,4,4
1002547,apple,459.45,547671290,00d9180a-c48c-417d-b5b2-1145c00b0169,1,2,2,electronics,smartphone,8,23,2,163,21,8
1002547,apple,469.77,518785112,aea4000f-1828-47ae-8986-f673205de307,1,1,1,electronics,smartphone,12,57,0,37,18,18
