product_id,brand,price,user_id,user_session,purchased,num_views_session,num_views_product,category,sub_category,hour,minute,weekday,duration,num_prev_sessions,num_prev_product_views
1002524,apple,533.69,549231856,a9324fd5-8e2e-41b5-bffa-06282fd28d62,1,6,2,electronics,smartphone,10,24,0,133,9,8
1002524,apple,531.67,513298115,93a275ef-e5ec-4d07-9327-a9f048e09b2c,1,5,2,electronics,smartphone,7,30,5,681,72,32
1002528,apple,566.04,520071278,2e0c5c3a-87fd-4f49-af3b-ef694414e18e,1,5,3,electronics,smartphone,13,15,6,5174,0,1
1002528,apple,532.57,551361102,ce5655e5-ec29-4fde-bebc-24d39f3f7263,1,4,2,electronics,smartphone,19,24,5,100,91,16
1002528,apple,532.57,551361102,3946b459-6ace-4762-99cd-8d0118cb6d28,1,3,3,electronics,smartphone,15,26,6,137,115,35
1002528,apple,532.57,551361102,7b36d80f-49eb-40a0-8aa5-267c75e8153e,1,13,7,electronics,smartphone,18,59,6,372,123,41
1002528,apple,540.3,551361102,82631746-ba62-45f1-97ac-461fbb0f4206,1,3,3,electronics,smartphone,19,13,0,109,168,69
1002532,apple,532.57,515988942,2d2e9872-4441-45f1-b929-4a36d386e185,1,2,2,electronics,smartphone,13,55,5,82,9,6
1002535,apple,864.63,563249911,ed42ee7f-9df2-4422-9828-45649b0fa0ee,1,1,1,electronics,smartphone,20,9,3,51,43,10
1002540,apple,511.71,538201741,a5bbb333-ec35-40a2-b50c-d0ddfea455d1,1,1,1,electronics,smartphone,14,12,5,29,15,7
1002540,apple,511.71,538201741,ee20bfa0-b45b-411d-b2fe-f261ea9f8e71,1,3,2,electronics,smartphone,4,0,1,93,25,13
1002540,apple,463.07,538201741,6b6bfd97-1c99-41d6-8d27-6c92043f8b8a,1,5,2,electronics,smartphone,19,18,6,432,35,19
1002544,apple,460.51,526018348,01a0b073-969e-4aee-9fdb-2d9169aefd61,1,3,2,electronics,smartphone,7,46,6,148,4,4
1002544,apple,460.5,535658024,6c5b7873-4821-4ade-bfe0-a3343508eb1b,1,1,1,electronics,smartphone,10,16,1,118,112,77
1002544,apple,460.07,535658024,0bfa1199-ac84-4ef8-b30e-ed139b70e5df,1,3,1,electronics,smartphone,9,12,5,317,148,101
1002547,apple,469.77,541642975,40c0449a-ff54-46ba-ad9b-53a5bbaaedc4,1,3,3,electronics,smartphone,5,53,5,65,22,6
1002547,apple,469.77,518785112,3d5c565a-a5f8-42f3-8557-94846ab77f64,0,15,2,electronics,smartphone,10,4,3,785,20,19
1002628,apple,411.57,563981173,4be0b029-39e3-4d4a-b3ab-24de64b893d1,1,8,3,electronics,smartphone,11,17,5,810,1,1
1002629,apple,360.06,516096684,c28197ca-724f-4576-9193-65b96b40d1b7,1,5,2,electronics,smartphone,21,11,0,223,108,8
1003114,sony,139.26,520753629,3d16c5f9-f0f6-4ac8-8396-f93c5eb51d25,1,2,2,electronics,smartphone,12,44,6,150,0,1
1003304,apple,577.61,544360719,0d61a77e-463a-427f-b235-03211958398a,0,2,2,electronics,smartphone,12,42,1,120,10,5
1003304,apple,577.61,512412385,d886adf7-48a1-48e7-bbd1-4c4053ca8557,1,5,1,electronics,smartphone,9,22,1,350,42,17
1003304,apple,576.44,512412385,3fa02693-de67-4d97-94fb-2dd1aada83a5,1,2,1,electronics,smartphone,12,56,2,9596,48,22
1003305,apple,607.63,515014899,5bc59547-fbcb-47e8-b79f-5bf7c553eaf1,1,1,1,electronics,smartphone,13,46,4,286,4,5
1003306,apple,581.16,558872050,051345fa-05e4-41ce-9972-7b95d3e834a9,1,2,2,electronics,smartphone,14,45,3,118,19,7
1003306,apple,579.6,512640890,82c3bf36-fcc5-445c-99f3-e34fc6972d59,1,2,2,electronics,smartphone,16,22,3,58,47,11
1003306,apple,583.27,555199107,5d6042f5-6cf8-4e5b-acf3-ddf2b9eaa7b4,1,4,4,electronics,smartphone,9,31,0,286,24,17
1003306,apple,578.47,562119164,75df363e-7331-4bc3-bef3-489c99bfc826,0,5,2,electronics,smartphone,10,15,4,680,94,30
1003306,apple,581.26,513229632,7fc3baa2-16e4-4556-a1de-a21014eaa4d9,1,1,1,electronics,smartphone,7,29,3,146,88,48
1003312,apple,691.88,530522688,99212dbf-2023-4f59-92ec-0be8d0164120,1,4,2,electronics,smartphone,2,42,3,73,82,27
1003316,apple,931.8,526929354,e470367a-2e73-46e8-8f55-b220407ca8e1,1,2,2,electronics,smartphone,8,42,1,86,34,11
1003316,apple,928.47,538216048,420d0d23-2067-435c-a0d8-5ef5c07346c9,1,7,3,electronics,smartphone,8,30,5,408,114,23
1003316,apple,931.52,526929354,ca8ec463-8054-4814-a27b-8f9851885aae,1,2,2,electronics,smartphone,17,50,3,159,64,26
1003317,apple,947.26,555868521,03fc4ccd-25a5-4adb-ad05-4c6b4af82e43,1,1,1,electronics,smartphone,12,36,6,17,3,2
1003318,apple,1055.34,512384561,d6354c64-56a6-4ea8-ac37-6d644ad4ee00,1,2,2,electronics,smartphone,7,28,0,402,22,15
1003318,apple,1054.85,512384561,717cc0cd-c8dc-4cf8-8510-7be8c5c0c7c0,1,3,2,electronics,smartphone,8,1,4,157,26,17
1003418,honor,180.16,519091048,b10cb250-d4fa-4d26-8a6b-a8166e095254,1,2,2,electronics,smartphone,23,43,3,156,4,3
1003614,doogee,154.19,533705768,b16f3e81-4864-490d-99a6-f0bdb2b0c793,0,6,2,electronics,smartphone,19,19,6,140,15,3
1003750,sony,231.64,560695574,060887e5-2904-4d4d-b12c-a502b423ed56,0,26,4,electronics,smartphone,10,31,0,1350,2,1
1003751,sony,257.38,545581437,8f37464d-437f-4f7f-9cd8-722b3e1f2867,1,13,4,electronics,smartphone,11,55,3,881,0,0
1003768,huawei,485.54,545356842,ef8d2954-5157-428c-9027-012a264cb768,1,2,2,electronics,smartphone,13,28,5,80,13,3
1003768,huawei,485.54,545356842,3df7c8ac-b0b6-47a8-9e18-58fbffe4a2e4,1,1,1,electronics,smartphone,6,44,6,24,17,7
1003768,huawei,485.54,545356842,663b8500-9255-4650-8625-0c0db103ff9b,1,2,2,electronics,smartphone,8,3,6,41,19,8
1003800,apple,771.96,518614883,85148483-1f29-4764-855c-f051066a2dd0,1,1,1,electronics,smartphone,13,55,3,76,11,4
1003877,prestigio,51.2,517179544,fff01fe6-e1de-4d65-b82c-0dac4b9b3a3f,1,2,2,electronics,smartphone,18,15,0,92,2,2
1003877,prestigio,51.2,517179544,fff01fe6-e1de-4d65-b82c-0dac4b9b3a3f,1,2,2,electronics,smartphone,18,15,0,92,2,3
1003901,xiaomi,489.07,558084553,a57d0197-bb4a-4004-9066-38b4ac02c165,0,4,2,electronics,smartphone,18,7,1,155,0,0
1003910,nokia,118.1,557828959,b2f79978-9c1b-de7f-2bc3-7a015ae27481,1,1,1,electronics,smartphone,11,21,2,108,0,1
1003966,samsung,720.48,512905134,db08c523-54f4-4c2f-82b0-700c8fc96970,1,15,4,electronics,smartphone,19,43,6,456,40,7
1004026,xiaomi,138.74,541339732,665e7276-6c70-495f-bc57-a65213ab109e,1,8,4,electronics,smartphone,5,18,4,598,8,1
1004133,xiaomi,142.17,559526938,033d13c2-8e2d-41c7-9d8b-ec68b3466d44,1,11,2,electronics,smartphone,21,40,2,419,7,0
1004133,xiaomi,141.86,534853048,dc3051af-50f7-4924-8cb8-929c0dcaa8d7,1,1,1,electronics,smartphone,14,23,5,96,14,5
1004133,xiaomi,141.64,551715949,36b6f4f2-ed38-40e5-9736-061db6ee4cbc,0,2,2,electronics,smartphone,9,50,2,34,32,12
1004133,xiaomi,141.64,551715949,8793ed88-0c5c-495c-90b7-b9da91850858,1,2,2,electronics,smartphone,9,59,2,74,33,13
1004133,xiaomi,141.58,551715949,50680ee6-23c7-4410-821b-925beed3449d,0,4,3,electronics,smartphone,13,47,4,197,37,15
1004140,xiaomi,176.53,512858837,79302fc2-f896-3142-436b-fea2babd6b75,1,1,1,electronics,smartphone,19,44,6,91,2,2
1004140,xiaomi,176.53,512858837,79302fc2-f896-3142-436b-fea2babd6b75,1,1,1,electronics,smartphone,19,44,6,91,2,3
