product_id,brand,price,user_id,user_session,purchased,num_views_session,num_views_product,category,sub_category,hour,minute,weekday,duration,num_prev_sessions,num_prev_product_views
1002524,apple,532.45,547320539,842a334c-a0d9-4002-ada0-d93794d6252a,1,2,2,electronics,smartphone,20,50,2,62,78,34
1002528,apple,532.57,551361102,df1706a5-6cb9-441a-87f3-dcd49df6912d,1,5,4,electronics,smartphone,7,37,6,213,107,28
1002528,apple,532.57,551361102,4514e28f-13dd-4a66-b593-d88481b4b7f0,1,3,3,electronics,smartphone,12,5,6,121,112,31
1002532,apple,532.57,516116565,e8b8050b-8c30-40a8-b790-59550b04a791,1,3,2,electronics,smartphone,7,6,5,115,61,13
1002535,apple,864.63,563249911,f7e82f8f-fe00-47e7-b432-b3757b41b65b,1,7,4,electronics,smartphone,17,3,3,241,35,6
1002540,apple,463.07,514655952,0ac3a601-0297-47c0-9650-04f652bebbe0,1,1,1,electronics,smartphone,18,44,0,33,6,5
1002540,apple,473.37,551538619,517d6de9-51c7-4df7-8676-cca1835f76cf,1,6,2,electronics,smartphone,15,38,0,456,22,9
1002540,apple,463.07,538201741,6b6bfd97-1c99-41d6-8d27-6c92043f8b8a,1,5,2,electronics,smartphone,19,18,6,432,35,18
1002544,apple,458.29,522447102,0ddef623-3291-4d77-b642-9db39c3282c7,0,12,4,electronics,smartphone,8,56,4,388,28,7
1002544,apple,462.3,535658024,56229c02-7720-4ec8-95e1-44c105c100a9,1,2,2,electronics,smartphone,14,41,1,165,44,31
1002544,apple,460.11,555761089,7c464e0a-b999-4ad9-9548-9d8a9933ac97,1,2,2,electronics,smartphone,20,12,2,95,34,33
1002544,apple,459.61,549109608,e8e32753-614d-4a20-8760-1fcd3cc92385,1,5,2,electronics,smartphone,8,26,1,392,174,34
1002544,apple,458.54,549109608,a1f1cb51-bf84-4536-9f07-e3c09f28b286,1,20,2,electronics,smartphone,7,31,3,1976,186,35
1002544,apple,460.63,535658024,4019e4f5-c4d6-4083-b605-5169138ba5cd,1,1,1,electronics,smartphone,11,52,3,129,68,45
1002544,apple,460.5,535658024,6c5b7873-4821-4ade-bfe0-a3343508eb1b,1,1,1,electronics,smartphone,10,16,1,118,112,76
1002544,apple,460.5,535658024,5b077369-c7e5-41ac-b613-89562d8a050a,1,3,3,electronics,smartphone,11,39,1,343,114,79
1002544,apple,460.11,535658024,9039a212-17af-4d26-b947-238efa5c44d7,1,2,2,electronics,smartphone,8,46,3,171,133,93
1002544,apple,460.11,535658024,a6123a4d-663b-4a95-ac2a-4afb39f7b37d,1,2,2,electronics,smartphone,15,7,3,178,137,97
1002547,apple,469.77,555014984,11986455-ac61-4e8e-8e13-9561ae729490,1,4,2,electronics,smartphone,13,21,6,161,12,12
1002629,apple,360.11,546714878,6583b570-6e03-4422-85ad-f0538c94648b,1,3,2,electronics,smartphone,17,22,2,660,13,7
1002629,apple,373.5,546967331,c0b3f0ef-3a8d-421d-9530-55bf8b159a16,1,7,3,electronics,smartphone,8,9,2,219,119,14
1002633,apple,358.54,515829117,97830a1a-1a50-4947-bca9-4ba9de35b48a,1,2,2,electronics,smartphone,17,1,4,84,38,20
1002634,apple,369.89,514472957,0dd6021c-e01c-411a-b676-c9658a83b355,1,8,4,electronics,smartphone,11,44,4,210,12,8
1002995,apple,456.79,518123239,f38edc2d-8c2c-483e-bb33-0fdc1341c27b,0,23,3,electronics,smartphone,13,11,1,1888,16,0
1003304,apple,575.18,513637879,08f3cd5a-6b6e-4131-b692-25e26b7aa22b,1,1,1,electronics,smartphone,21,36,4,88,3,2
1003305,apple,616.71,515751494,01573fd8-f360-4149-8133-c1d8df4b5ba0,1,1,1,electronics,smartphone,17,36,4,48,3,3
1003305,apple,607.63,515014899,5bc59547-fbcb-47e8-b79f-5bf7c553eaf1,1,1,1,electronics,smartphone,13,46,4,286,4,4
1003306,apple,586.49,515591112,00abe102-5e6c-43c3-9fe7-9d09d4548b35,1,4,1,electronics,smartphone,5,35,4,186,9,3
1003306,apple,589.42,531393247,9071e2ef-b48a-417c-8a78-a36527607947,1,2,2,electronics,smartphone,0,21,6,68,13,13
1003306,apple,579.83,513229632,e4bb932b-70d3-4596-9e89-84a28346a9da,1,1,1,electronics,smartphone,5,49,1,94,94,55
1003310,apple,696.26,514143514,9e159d74-740a-48a3-942c-cf70a66c6ec9,1,1,1,electronics,smartphone,4,41,4,122,32,13
1003311,apple,704.86,514240216,181bc785-eef7-4745-ab37-38c6c59fde3a,1,6,2,electronics,smartphone,16,47,2,308,12,2
1003317,apple,947.26,512941109,4bdfd8a9-3041-4d95-95c0-e3311ea27f3d,0,1,1,electronics,smartphone,5,44,3,4,11,11
1003317,apple,952.15,513320236,ff534f78-ea4b-4ab3-a885-c6fcfe33b8c5,1,3,1,electronics,smartphone,12,4,2,748,121,18
